Instrument,Company Common Name,Price Close,Volatility - 30 days,Volatility - 90 days
PG.N,Procter & Gamble Co,140.76,18.7592286575845,15.8563200609106
FDS.N,Factset Research Systems Inc,291.55,25.3478903948479,34.1208242215072
ODFL.OQ,Old Dominion Freight Line Inc,158.92,39.1684951901884,34.5352792371678
GEHC.OQ,GE Healthcare Technologies Inc,86.05,30.8658591293058,28.3265583363206
UAL.OQ,United Airlines Holdings Inc,108.39,45.1783478009853,41.3762091916485
FCX.N,Freeport-McMoRan Inc,48.11,36.9208557656297,47.8630793493931
NOC.N,Northrop Grumman Corp,560.04,17.9922878624692,17.1524620429512
SNDK.OQ,Sandisk Corp,241.61,124.036552638642,105.427484542982
EVRG.OQ,Evergy Inc,73.37,14.7839726614886,13.2603950427365
ETN.N,Eaton Corporation PLC,350.36,31.4222574586061,27.0291772948676
TAP.N,Molson Coors Beverage Co,47.06,30.0840393209392,25.3986457844249
LIN.OQ,Linde PLC,403.3,18.3963450625067,15.4647470443313
AMZN.OQ,Amazon.com Inc,230.28,39.5265205953914,31.112691386891
MNST.OQ,Monster Beverage Corp,72.49,23.2189025150856,23.6920337820529
ESS.N,Essex Property Trust Inc,258.13,16.3178284774068,17.9761919285984
JNJ.N,Johnson & Johnson,210.01,16.4146701473886,13.8025746689425
NVDA.OQ,NVIDIA Corp,180.93,35.9610596630759,33.0722485069049
PNR.N,Pentair PLC,105.89,21.6372785134933,21.7082536353181
OMC.N,Omnicom Group Inc,80.07,32.6530832360067,28.8358363877291
URI.N,United Rentals Inc,833.85,25.0847812922597,29.1500186717527
EPAM.N,Epam Systems Inc,211.11,27.5159344291189,35.570520341318
SNPS.OQ,Synopsys Inc,477.26,36.7321612857252,86.7005272936309
CHRW.OQ,CH Robinson Worldwide Inc,159.8,55.4389850464417,36.1710753066811
CPT.N,Camden Property Trust,104.17,17.1336653699978,18.2258137330404
XYZ.N,Block Inc,63.61,50.4962650345382,42.4627620746047
EQR.N,Equity Residential,60.63,16.3902874472727,18.7443675141761
ROK.N,Rockwell Automation Inc,413.05,26.0792327954047,24.5216972777488
PRU.N,Prudential Financial Inc,117.05,18.0782180996271,20.8229141957447
CARR.N,Carrier Global Corp,54.15,27.5759073351298,27.761992081494
CAT.N,Caterpillar Inc,625.61,27.1449245375086,31.454909797617
GDDY.N,GoDaddy Inc,126.05,23.3409802763618,31.6777348991677
SPGI.N,S&P Global Inc,497.56,18.466024223734,20.8655566555786
LW.N,Lamb Weston Holdings Inc,59.48,27.2249854991301,30.3531206082725
EXE.OQ,Expand Energy Corp,114.33,32.7997114597082,29.3704682307628
WY.N,Weyerhaeuser Co,23.2,25.3684687688847,24.8793344994472
MRNA.OQ,Moderna Inc,29.63,74.1235882995556,58.2996158144022
ORLY.OQ,O'Reilly Automotive Inc,93.96,22.239353743994,19.2215015086524
T.N,AT&T Inc,24.3,15.1380194963227,19.5173081391282
GNRC.N,Generac Holdings Inc,167.65,52.3633349391516,44.1020527267194
CTSH.OQ,Cognizant Technology Solutions Corp,83.82,22.6859878156221,24.4570381568646
VRSK.OQ,Verisk Analytics Inc,216.29,22.89124401768,28.2789008631038
ORCL.N,Oracle Corp,198.85,54.4243714685974,71.3173367376151
XOM.N,Exxon Mobil Corp,119.54,16.8408791809548,17.2590170434879
HSIC.OQ,Henry Schein Inc,76.24,36.3689072474729,27.9563314329466
LYV.N,Live Nation Entertainment Inc,141.87,44.2083292834824,31.1496676045
SW.N,Smurfit WestRock PLC,38.01,35.3242866483876,39.1772194548236
LVS.N,Las Vegas Sands Corp,66.2,24.1528335200258,36.3617027698328
CBRE.N,CBRE Group Inc,160.46,23.0964114737384,21.9280916827817
HAS.OQ,Hasbro Inc,83.96,20.8944659685624,22.516478191571
ECL.N,Ecolab Inc,261.33,19.3132079877205,20.0692620561256
EMR.N,Emerson Electric Co,139.57,26.9328289500478,25.9081912945651
CNC.N,Centene Corp,40.46,49.8944447616969,48.6894390589971
SBUX.OQ,Starbucks Corp,84.74,30.9383591754961,27.1825189271973
WFC.N,Wells Fargo & Co,92.59,18.7699430867785,24.5943924233593
APH.N,Amphenol Corp,139.09,32.1287493543489,28.9106651337223
PLD.N,Prologis Inc,130.56,12.5168563646447,22.0697892281302
KO.N,Coca-Cola Co,69.11,15.3655548654163,15.4396191782351
PHM.N,Pultegroup Inc,127.57,30.365850880892,30.371433271665
DHR.N,Danaher Corp,232.37,18.3475777561405,28.7568511562868
AXON.OQ,Axon Enterprise Inc,581.03,43.899127267794,42.856061175635
STT.N,State Street Corp,129.6,19.0129842337389,22.0175856888901
BK.N,Bank of New York Mellon Corp,118.68,16.5673909917831,16.8059622110565
IT.N,Gartner Inc,232.66,35.4022469058786,37.3333890409569
SYF.N,Synchrony Financial,85.66,24.7917052207971,25.5906954873701
UPS.N,United Parcel Service Inc,100.48,28.4553993536775,25.3615988595698
MKC.N,McCormick & Company Inc,65.94,19.0737041562693,22.4880410057905
AVY.N,Avery Dennison Corp,181.66,22.0186458797749,25.4351977649929
COO.OQ,Cooper Companies Inc,82.11,30.9951377156867,37.984530780799
LULU.OQ,Lululemon Athletica Inc,187.01,34.0687540039137,48.5958270978001
IRM.N,Iron Mountain Inc,88.03,35.9240710083615,32.0693678169999
KEY.N,KeyCorp,20.69,23.1460413944276,25.4157321935193
EW.N,Edwards Lifesciences Corp,84.24,20.3312655952353,20.3341698393071
MS.N,Morgan Stanley,180.29,21.5505098200365,21.3639972560638
CAH.N,Cardinal Health Inc,198.32,43.6809885147674,33.8679390485869
DXCM.OQ,Dexcom Inc,68.94,58.2656703405658,46.7182851320031
FIS.N,Fidelity National Information Services Inc,67.24,20.4783684232948,24.478917531066
WELL.N,Welltower Inc,184.97,21.1394524746538,19.1118567907602
GOOGL.OQ,Alphabet Inc,312.43,33.6865102309463,29.8899487174956
OTIS.N,Otis Worldwide Corp,87.73,15.0722097778686,16.2128339173563
CRM.N,Salesforce Inc,262.35,33.4845669180754,32.5051661634497
LRCX.OQ,Lam Research Corp,168.71,46.8721384376168,45.333005306037
YUM.N,Yum! Brands Inc,148.12,27.6370676851814,22.2048920863296
ARES.N,Ares Management Corp,176.87,32.1924048145349,33.9855658824124
JKHY.OQ,Jack Henry & Associates Inc,187.18,20.6916604849682,21.1441780767233
AEP.OQ,American Electric Power Company Inc,114.26,15.5646448091523,17.51477022035
ALL.N,Allstate Corp,206.82,18.8595090742078,21.425167678873
VRSN.OQ,"VeriSign, Inc",244.07,21.3404049290488,21.5802570663965
PEP.OQ,PepsiCo Inc,149.04,16.4522406851265,19.474981316588
AJG.N,Arthur J. Gallagher & Co.,247.62,27.5405020601558,23.954732671139
MO.N,Altria Group Inc,58.72,26.596524206739,20.8054082294796
SWKS.OQ,Skyworks Solutions Inc,68.25,35.3593585205369,36.1256780844687
PPG.N,PPG Industries Inc,102.76,21.5098376536272,22.9402477822484
CRL.N,Charles River Laboratories International Inc,194.43,35.5591507587624,41.5229134361757
NSC.N,Norfolk Southern Corp,294.06,13.8238395899793,14.382805126554
CDNS.OQ,Cadence Design Systems Inc,335.43,25.6994881147557,30.287744995271
CB.N,Chubb Ltd,305.98,15.6244849789481,16.739912074688
AZO.N,Autozone Inc,3469.1,29.5175326326123,23.1580497102712
WBD.OQ,Warner Bros Discovery Inc,29.49,36.6312839464239,66.0162615359881
KMB.OQ,Kimberly-Clark Corp,103.45,48.9327184796529,31.2618631416704
HUM.N,Humana Inc,266.49,43.6987454189316,45.6828059997695
IBM.N,International Business Machines Corp,310.74,23.0676905362563,26.485666723863
JCI.N,Johnson Controls International PLC,118.06,29.203150988696,22.7563457619971
APD.N,Air Products and Chemicals Inc,243.73,43.1231465938183,29.4087758778233
A.N,Agilent Technologies Inc,142.87,25.0492878450868,28.0925030226802
WEC.N,WEC Energy Group Inc,103.48,13.6562920350157,14.2160364221622
TROW.OQ,T Rowe Price Group Inc,104.96,21.9555859795416,23.8624306252582
HST.OQ,Host Hotels & Resorts Inc,18.13,30.9398905210334,25.0104087475456
PGR.N,Progressive Corp,230.44,20.0065169839302,21.7889197715275
FRT.N,Federal Realty Investment Trust,98.78,15.5997022939377,17.3747952443966
AES.N,AES Corp,14.0,25.5981103775453,38.0334382985406
MHK.N,Mohawk Industries Inc,112.66,33.3599372706308,35.7103106443396
FAST.OQ,Fastenal Co,41.75,18.2699411880259,23.7057088761872
COR.N,Cencora Inc,344.5,23.605584508031,23.8350302211362
ROST.OQ,Ross Stores Inc,183.13,25.319778692284,22.8015126894921
PSA.N,Public Storage,273.71,20.9820458207188,19.4816701527197
CCL.N,Carnival Corp,27.84,48.6349052720695,38.2924890119543
DIS.N,Walt Disney Co,111.46,31.6621494198457,22.7213198943225
DOW.N,Dow Inc,24.58,41.8334698015375,44.2545272288835
FSLR.OQ,First Solar Inc,272.83,53.902340005164,49.9046110162587
USB.N,US Bancorp,53.58,20.5972066669125,21.4166251863963
CI.N,Cigna Group,272.26,63.1865094582105,41.2408451784105
HII.N,Huntington Ingalls Industries Inc,326.72,33.293573647246,25.0011024225217
TTWO.OQ,Take-Two Interactive Software Inc,242.41,30.4647587875323,26.2374948580533
LKQ.OQ,LKQ Corp,31.04,37.5035232888089,29.8515555000904
AON.N,Aon PLC,347.4,18.3856408299146,18.0639481401602
ITW.N,Illinois Tool Works Inc,257.41,16.2731272976674,18.6130637432801
PYPL.OQ,PayPal Holdings Inc,61.69,30.8835995186851,33.9290770855037
MTD.N,Mettler-Toledo International Inc,1421.58,22.901337479879,26.9069569085779
MU.OQ,Micron Technology Inc,258.46,69.1939854658307,57.1030922936554
NWS.OQ,News Corp,29.56,27.7895823103501,26.7807242990218
CLX.N,Clorox Co,102.83,25.4743106775784,22.235912823963
TTD.OQ,Trade Desk Inc,37.02,39.3987967890506,91.756352704688
RL.N,Ralph Lauren Corp,367.62,32.6554636573438,30.8692877465357
AVB.N,AvalonBay Communities Inc,176.07,12.731397767269,16.8738099149451
DPZ.OQ,Domino's Pizza Inc,433.67,22.9508739287069,21.517990537911
ON.OQ,ON Semiconductor Corp,55.97,45.8986519347927,45.6559535445237
RMD.N,Resmed Inc,252.39,22.525493633316,20.2369962600332
PWR.N,Quanta Services Inc,466.91,30.3802756477974,30.2328111296075
MPWR.OQ,Monolithic Power Systems Inc,981.48,43.0226758608792,42.4084822952019
RVTY.N,Revvity Inc,103.92,34.7073243246006,34.4662490878253
DRI.N,Darden Restaurants Inc,183.3,25.1814661148386,24.2686779382354
CF.N,CF Industries Holdings Inc,78.66,28.1562360136598,31.1787497543206
DOC.N,Healthpeak Properties Inc,16.68,22.7615718342654,22.3782539056822
BLDR.N,Builders FirstSource Inc,109.87,45.7069324403152,45.0968114595728
ROL.N,Rollins Inc,59.49,27.9701604826154,23.0425397458288
FISV.OQ,Fiserv Inc,68.16,37.2369031772863,99.7868006652019
TPR.N,Tapestry Inc,123.49,46.5603074666092,46.3365029639787
SYY.N,Sysco Corp,74.23,17.9388945558571,18.7725700436413
ACN.N,Accenture PLC,270.37,28.6579252446223,26.6917468884344
CFG.N,Citizens Financial Group Inc,58.35,23.6809921915168,26.4539460344873
NVR.N,NVR Inc,7511.16,20.7744214194709,23.0483723411741
PODD.OQ,Insulet Corp,294.17,45.8932785719138,36.1532724596372
FE.N,FirstEnergy Corp,44.08,14.2416042781101,12.8619996362199
EBAY.OQ,eBay Inc,84.4,55.2604507614991,38.9568076196528
KEYS.N,Keysight Technologies Inc,214.14,39.6547343463709,32.0309732004259
NWSA.OQ,News Corp,26.1,27.3041264697804,25.7724245267141
WSM.N,Williams-Sonoma Inc,189.28,31.280562896608,31.5368758807223
NEM.N,Newmont Corporation,99.42,44.5172099941803,42.8452512544677
AIG.N,American International Group Inc,82.85,28.1733464774091,23.9831557758887
WYNN.OQ,Wynn Resorts Ltd,124.85,36.7456785142509,37.7969363132431
VRTX.OQ,Vertex Pharmaceuticals Inc,445.93,29.0702982645353,24.8382018229083
CTAS.OQ,Cintas Corp,188.83,15.0592850623046,18.143028028258
BALL.N,Ball Corp,49.21,29.609968730154,24.3188276578497
SJM.N,J M Smucker Co,100.91,22.5603183661382,24.9432688494621
PM.N,Philip Morris International Inc,150.95,22.4172568356459,23.3012432454127
MTB.N,M&T Bank Corp,205.75,20.3429011930178,21.3542085094101
MGM.N,MGM Resorts International,37.44,32.5012896201968,32.1069113077291
IQV.N,IQVIA Holdings Inc,225.98,21.5863252264609,28.9923635605595
OXY.N,Occidental Petroleum Corp,41.2,20.5786002212702,27.7419219762036
NXPI.OQ,NXP Semiconductors NV,231.83,36.981917495068,36.6980768628981
HOLX.OQ,Hologic Inc,74.83,3.10629595430744,21.2102257946314
TDG.N,TransDigm Group Inc,1317.49,16.0393440862976,20.8639585743039
HRL.N,Hormel Foods Corp,23.71,18.5603586487015,32.863615389527
APP.OQ,Applovin Corp,716.98,54.2030039082867,60.6519498430806
GS.N,Goldman Sachs Group Inc,911.03,25.0749340779363,23.6851432713839
NDAQ.OQ,Nasdaq Inc,93.85,15.5588990709911,18.8059688379632
NEE.N,Nextera Energy Inc,81.21,19.7211055167821,21.8126318069658
DAL.N,Delta Air Lines Inc,70.56,40.543388220934,38.4356909239907
DVA.N,DaVita Inc,120.33,29.038796713074,29.2069274489427
GD.N,General Dynamics Corp,341.48,16.0216177855905,15.4671488524501
GWW.N,WW Grainger Inc,1032.39,22.7638747423575,20.8615103646826
L.N,Loews Corp,104.65,13.7801515991666,13.6319708464066
FANG.OQ,Diamondback Energy Inc,157.04,24.1353108539525,26.9817755093414
GEN.OQ,Gen Digital Inc,27.78,22.0134806952858,23.8921192689982
SRE.N,Sempra,88.97,17.9249302942749,19.6482739895078
POOL.OQ,Pool Corp,240.29,29.1114122702768,30.1724914457021
BBY.N,Best Buy Co Inc,74.97,28.830052633672,33.6652001663049
WTW.OQ,Willis Towers Watson PLC,325.58,18.1071808323432,17.3424351459108
CL.N,Colgate-Palmolive Co,77.25,20.3218924592721,18.5794362178361
MRK.N,Merck & Co Inc,99.01,32.0437891972101,29.0067535696451
CPRT.OQ,Copart Inc,38.69,23.3347206061482,21.9560423056342
MA.N,Mastercard Inc,563.37,21.4153762783409,18.5056961175657
UDR.N,UDR Inc,35.62,15.8308285358898,18.5541513799052
AAPL.OQ,Apple Inc,278.03,14.0450266424303,23.1190427046921
EXPE.OQ,Expedia Group Inc,281.15,60.7826460433749,44.1257107429404
GPC.N,Genuine Parts Co,133.96,21.8246083511939,19.9240618980263
NI.N,NiSource Inc,41.69,16.0271772957112,18.8614716238464
SYK.N,Stryker Corp,352.97,22.4581039052103,19.3159302650253
HON.OQ,Honeywell International Inc,193.85,16.7032403143718,19.9860778136626
ADI.OQ,Analog Devices Inc,283.39,30.9767813770758,28.9128096647877
VLO.N,Valero Energy Corp,171.91,30.4138678214861,28.9452645011711
STX.OQ,Seagate Technology Holdings PLC,307.845,63.7392339182427,59.1008470938881
PNC.N,PNC Financial Services Group Inc,211.49,18.9121122593081,20.6850962700402
MMM.N,3M Co,168.6,20.4397244941733,24.3445499632458
AMCR.N,Amcor PLC,8.33,18.964111822174,28.4243558875716
DOV.N,Dover Corp,201.28,18.8218987072298,23.9697733118862
PCG.N,PG&E Corp,14.83,20.2503097306335,26.5795316006593
DASH.OQ,DoorDash Inc,224.52,73.0494247814053,49.4658385880846
IFF.N,International Flavors & Fragrances Inc,63.25,31.3262946145451,27.4873728282656
PAYC.N,Paycom Software Inc,166.08,39.1031939881013,34.1628953615133
TSCO.OQ,Tractor Supply Co,51.81,23.5184948001278,20.6782668057173
MOH.N,Molina Healthcare Inc,166.9,44.8587338960077,49.3115637396058
FTV.N,Fortive Corp,55.46,18.5862976331495,19.9353576405123
KDP.OQ,Keurig Dr Pepper Inc,29.47,20.0831513345352,35.1013644431356
MCO.N,Moody's Corp,485.51,16.2618818437208,21.0601323282533
STZ.N,Constellation Brands Inc,149.55,21.887016598532,25.9367672683211
LEN.N,Lennar Corp,119.15,40.0977209795829,34.8233002343706
PSKY.OQ,Paramount Skydance Corp,14.12,64.9302788681167,84.6074318189312
ALGN.OQ,Align Technology Inc,163.87,36.0579854696127,34.8029872114338
NTRS.OQ,Northern Trust Corp,140.09,20.5372702849903,21.4815432719704
MTCH.OQ,Match Group Inc,33.18,25.5540221469865,31.6452224707667
SHW.N,Sherwin-Williams Co,329.3,19.991056362763,22.2446183369983
GE.N,General Electric Co,288.42,22.258615091027,22.6157892460176
MSI.N,Motorola Solutions Inc,368.05,22.6102406169386,21.1658777344506
KVUE.N,Kenvue Inc,17.32,37.7577534817438,46.6808427787503
TMO.N,Thermo Fisher Scientific Inc,578.9,17.5866472148889,27.2559689594878
DDOG.OQ,Datadog Inc,149.9,72.1045586768236,52.6368898632758
FOXA.OQ,Fox Corp,71.82,26.2110208984566,28.3949918641931
WDAY.OQ,Workday Inc,224.04,35.6366570827816,33.1353711047107
MCK.N,McKesson Corp,815.54,24.6372530719631,26.2588037383889
DAY.N,Dayforce Inc,69.16,2.70754256505989,40.4755493445763
BMY.N,Bristol-Myers Squibb Co,51.2,34.1720062788898,27.0673241158914
CEG.OQ,Constellation Energy Corp,378.6,40.7378297363789,40.8902572774648
CHTR.OQ,Charter Communications Inc,212.06,36.1439473161762,29.7631382525867
ELV.N,Elevance Health Inc,360.22,35.7696147038403,29.8014218022044
CHD.N,Church & Dwight Co Inc,83.57,27.0370669548685,22.5266554016868
APO.N,Apollo Global Management Inc,150.33,34.4765018708363,32.7878342558516
Q.N,Qnity Electronics Inc,84.8,52.3554745583711,
CPB.OQ,Campbell's Co,28.43,26.492537875186,28.4115006640667
PLTR.OQ,Palantir Technologies Inc,187.54,56.4775991514141,47.66728097688
AFL.N,Aflac Inc,108.85,16.3341337401494,16.3781055595974
DD.N,Dupont De Nemours Inc,41.49,34.0790055173698,28.8455230523785
HAL.N,Halliburton Co,29.12,24.6251676722845,36.8541362082373
NUE.N,Nucor Corp,166.57,25.9629251137256,29.3040518326974
LHX.N,L3Harris Technologies Inc,289.86,25.4386354467855,21.636028314379
PNW.N,Pinnacle West Capital Corp,86.75,11.3113581026228,13.9440017728143
INCY.OQ,Incyte Corp,96.1,37.7389041050021,29.2986173709856
COF.N,Capital One Financial Corp,239.29,25.2710306107343,28.05950386767
OKE.N,ONEOK Inc,73.62,21.7571501711437,20.0867983402866
BIIB.OQ,Biogen Inc,172.5,27.9435412090331,32.3622521467952
BSX.N,Boston Scientific Corp,91.75,22.9196170843559,20.24652999831
AIZ.N,Assurant Inc,228.02,17.2742251745764,26.547277264844
RTX.N,RTX Corp,177.42,19.628508159501,22.5672760076202
MPC.N,Marathon Petroleum Corp,187.11,31.0425828648473,25.9687141493986
TECH.OQ,Bio-Techne Corp,60.26,35.104685213965,41.9140675450498
BEN.N,Franklin Resources Inc,23.47,25.4183349957585,24.0093095034945
BX.N,Blackstone Inc,154.11,24.1418757946691,27.5093047831426
TXT.N,Textron Inc,86.85,15.8932667174708,20.7712265735959
FDX.N,FedEx Corp,284.78,24.6716067050092,24.9501116105929
TRMB.OQ,Trimble Inc,83.34,29.839639275783,26.6411827718616
VTRS.OQ,Viatris Inc,11.59,39.216888358516,31.6585836826579
ALLE.N,Allegion PLC,164.71,18.6288687351225,19.3248054008204
BKR.OQ,Baker Hughes Co,47.46,28.7425256669367,27.2793370554766
CDW.OQ,CDW Corp,149.86,36.1164518318866,29.9995371914436
RF.N,Regions Financial Corp,27.84,21.2169041420936,24.2770426721606
